transaction_id,user_id,timestamp,amount,merchant
695715c4-0d85-49c0-91b3-03fec76b4f85,user_4,2024-01-03T03:00:00,139.63,Target
0afe6027-de9d-4b49-adf5-4d5d473f7672,user_4,2024-02-27T17:00:00,186.14,Apple Store
d03e860f-88c0-4f3d-847f-f4f9ab3da3c4,user_14,2024-01-03T17:00:00,90.7,Netflix
b752b69a-2c97-4bb9-b9cb-71230beb34d1,user_18,2024-02-05T19:00:00,35.37,Amazon
5e2348ac-10f4-42ec-8a3f-490aeb67bb28,user_6,2024-02-29T13:00:00,77.71,Netflix
b050f6a7-647e-421d-98d3-6cff650405da,user_11,2024-01-09T17:00:00,299.91,Amazon
02e52faa-e810-4425-8b82-e965bc376bdb,user_15,2024-02-15T18:00:00,39.73,Apple Store
f6289af7-aa76-411a-b3a8-b3c5eebc08b0,user_12,2024-02-19T06:00:00,238.72,Walmart
02f9ff40-dec3-45cf-8264-33076c03b99b,user_8,2024-03-14T22:00:00,42.16,Shell Gas
8598ebe8-eeb8-4172-b547-da7917075aa6,user_6,2024-02-01T14:00:00,49.29,Walmart
8b9a2999-116d-4d6c-aee5-23dc327ca5a7,user_20,2024-02-24T04:00:00,17.01,Target
3edc6c73-3f93-47a2-a91e-c333a6d36b7e,user_15,2024-02-02T09:00:00,125.33,Shell Gas
c234cd5e-92c8-464e-bc1b-34b72564924d,user_2,2024-01-20T13:00:00,77.85,Apple Store
a46d313b-7802-49e7-9a41-95c33f9e12e9,user_11,2024-01-19T03:00:00,128.12,Unknown Merchant
795b4ce7-3e1a-4cda-a3b2-45d150602ff0,user_5,2024-01-23T14:00:00,111.21,ATM Withdrawal
430e9478-83e5-468c-a081-24dd6b6b189e,user_19,2024-02-04T01:00:00,33.78,Amazon
58a74b6c-40df-41c6-aeb7-834326260fa6,user_4,2024-01-14T01:00:00,208.77,ATM Withdrawal
dd13d9b3-b590-4526-a113-b1b5d57afbd0,user_20,2024-01-06T10:00:00,60.86,Unknown Merchant
04fcdda8-a5d9-4b89-8bac-920dcd0be811,user_17,2024-01-22T10:00:00,154.25,Starbucks
19a5ccd5-a964-4731-8d54-3563dc544ddc,user_11,2024-01-10T12:00:00,64.29,Amazon
1011493a-a227-440c-a86e-e25312337fea,user_9,2024-03-23T22:00:00,90.11,Walmart
9498697d-5db7-4149-9fa9-0acff7794ae8,user_10,2024-03-12T19:00:00,146.6,Target
8615cfde-dd6a-49f8-ae2b-915643d5bd44,user_12,2024-03-06T01:00:00,117.39,Walmart
29baf63f-c601-42ea-bdf8-d3125adce546,user_12,2024-03-15T23:00:00,56.2,Apple Store
598dced7-1a37-490f-96b8-607f2bf2c3e6,user_3,2024-01-08T07:00:00,507.74,PayPal
6108d4b6-07eb-4e64-ace2-a52c7fd7e7c8,user_5,2024-01-11T22:00:00,34.02,Apple Store
bbc8bb56-ef52-4083-8074-350b0bf0d9b2,user_14,2024-03-23T07:00:00,38.15,Netflix
fcb6df68-8b93-4f2d-a94f-7cd64e000d57,user_10,2024-02-04T01:00:00,75.48,Walmart
ec072c35-e52d-4849-9705-88f5a9aacded,user_8,2024-01-20T04:00:00,107.75,Amazon
11f9188a-b52c-43a8-b821-16857ae797b4,user_3,2024-03-01T09:00:00,113.68,Amazon
118e6c46-722a-494d-85f6-8d1390a97fcd,user_11,2024-01-07T01:00:00,92.47,Unknown Merchant
41361b42-eeee-4122-8702-46109761384b,user_7,2024-02-16T00:00:00,108.3,Unknown Merchant
431dd293-2d33-4efe-996b-a2fb3afde464,user_14,2024-01-17T05:00:00,17.59,Shell Gas
c3e0dcba-b7d6-483e-a802-8706418273cc,user_14,2024-02-05T01:00:00,76.17,Walmart
8fac2f67-3928-4ce4-a51b-b634356d5a9e,user_2,2024-02-04T08:00:00,432.98,Walmart
10cea1ab-7149-4423-bdf1-983844ef831f,user_8,2024-01-17T08:00:00,41.63,ATM Withdrawal
89cd9465-f53c-4004-bb91-0f3ee570bc06,user_6,2024-01-24T18:00:00,59.82,Walmart
a7b0d96c-84ac-4906-8e89-67d9663b9eeb,user_15,2024-03-09T22:00:00,271.2,Amazon
e202f0b2-63ef-469d-af72-2a51bce48677,user_18,2024-03-12T08:00:00,141.99,ATM Withdrawal
9d67d8d2-046a-4569-9529-87753337f828,user_16,2024-02-11T01:00:00,46.72,Amazon
3809971a-fd19-43ec-a366-1dbdb07ffaed,user_6,2024-02-02T08:00:00,29.35,Unknown Merchant
a1408b9d-5bc4-437a-be97-0d2ee9323d17,user_10,2024-02-06T02:00:00,244.98,PayPal
c3cd80ba-013c-497c-b585-c761e71ca529,user_16,2024-01-14T05:00:00,52.25,Amazon
9380a293-ae44-45e5-980a-78a4b99c0388,user_19,2024-03-03T18:00:00,113.27,Amazon
46643bf1-eae4-4357-a875-eea02b219b7b,user_2,2024-02-19T20:00:00,60.63,PayPal
e3d5e0d7-fd9a-4cb6-b6c2-c4b491cd7c27,user_6,2024-01-05T20:00:00,31.04,Netflix
01fac160-849c-49db-bdcb-d4abf9933cd2,user_13,2024-01-11T05:00:00,368.11,Apple Store
1afecf60-a6d9-42a8-bceb-c9052d21bb49,user_20,2024-01-04T09:00:00,119.36,Apple Store
3980c564-696e-408b-af0c-38c9462fd2f9,user_19,2024-02-14T14:00:00,64.01,Shell Gas
17ea36f8-f966-47b1-949d-3bddc634a2ea,user_8,2024-01-23T15:00:00,58.23,Starbucks
0bedb85a-2963-46f7-a942-cd79b1fca021,user_15,2024-01-27T23:00:00,99.09,PayPal
87a87515-d8b3-44e3-a8d9-9da7326fdb3c,user_7,2024-02-13T04:00:00,72.78,PayPal
858be65d-94e9-4b35-b82c-bbf64ce1ae0a,user_10,2024-02-22T04:00:00,101.45,PayPal
334ab833-f0b7-4bbe-9c91-abe9e87fddc3,user_10,2024-03-20T12:00:00,26.92,Starbucks
